Maker QoQ,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,     TOTAL     
DIAMOND E VEHICLES,26,32,37,23,31,31,47,57,49,37,32,48,450
DILIGENT MOBILITY SERVICE PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0,1
DILLI ELECTRIC AUTO PVT LTD,"2,007","1,991","2,197","1,612","2,206","1,963","2,268","2,207","2,097","2,388","2,044","2,061","25,041"
DIVANSU AUTOMOBILES LTD,4,10,9,2,3,5,8,14,9,20,15,10,109
DIVYA ENTERPRISES,64,80,39,47,73,35,56,45,69,87,53,73,721
D K DIESELS PVT LTD,2,0,2,0,0,0,0,0,0,0,0,0,4
D.K. MOTORS,0,0,0,2,1,1,1,1,0,0,1,0,7
DODGE MOTORS,0,0,0,1,0,0,1,1,0,0,0,0,3
DONGMA VEHICLE (IMPORTER: MERCURY METALS),14,2,0,8,0,0,0,1,0,10,0,0,35
DOOSAN BOBCAT INDIA PVT LTD,53,49,52,82,52,33,32,54,39,41,45,43,575
DSF INDUSTRIES PVT LTD,0,0,0,0,0,0,1,0,0,3,1,0,5
D S INDUSTRIES,1,0,1,0,0,0,0,0,0,0,0,0,2
DSR EV MOBILITY PVT LTD,1,2,3,5,0,7,5,11,4,4,10,3,55
DUCATI INDIA PVT LTD,35,42,37,37,31,31,19,29,27,34,23,23,368
DUCATI MOTOR HOLDING S.P.A,1,0,0,0,0,0,0,0,0,0,0,0,1
DUKE AUTO INDIA,76,61,66,62,65,51,61,57,83,81,69,67,799
DULEVO INDIA PVT LTD,6,1,7,1,2,6,0,1,2,1,2,1,30
"DURGA AGRO ENGG,BALASORE",3,3,1,2,1,0,0,0,0,0,0,0,10
DURGA AGRO WORKS,0,0,0,0,0,0,0,1,3,0,0,1,5
DURGA AND DURGA ENG WORKS GANJAM HALADIAPADAR,0,0,0,0,0,0,0,1,0,1,0,0,2
"DURGA&DURGA ENGG WORKS,BHMPUR",3,2,0,3,0,0,0,0,0,1,2,1,12
"DURGA & DURGA ENG WORKS, HALADIAPADAR, GANJAM",2,0,1,1,0,0,0,0,0,0,0,0,4
DURGA ENGINEERING BHADRAK CHARAMPA,0,0,0,0,0,0,1,0,0,0,0,0,1
DURGA ENGINEERING WORKS,10,4,0,3,0,0,0,0,0,1,0,0,18
DURGA FILTERS PVT LTD,0,0,0,0,0,0,0,1,0,4,0,0,5
"DWARI ENGG WORKS,SAMBALPUR",1,0,0,0,0,0,0,0,0,0,0,0,1
DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,16,29,43,2,15,15,7,6,5,7,9,11,165
DYNAVOLT TECHNOLOGY INDIA LTD,0,0,0,0,0,1,0,0,0,0,0,0,1
DYS IMPEX PRIVATE LIMITED,51,112,53,88,46,83,59,45,112,51,73,115,888
E-ASHWA AUTOMOTIVE (HS 2W) PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0,1
E-ASHWA AUTOMOTIVE PVT LTD,18,23,11,5,8,6,14,5,5,9,4,4,112
EBUZZ MOBILITY LLP,4,3,0,2,0,6,1,3,2,2,4,2,29
ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),0,5,18,11,5,3,2,2,4,1,6,2,59
ECO DYNAAMIC EQUIPMENTS,5,10,8,12,3,7,10,7,10,4,12,9,97
ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,0,19,28,12,41,16,45,49,35,34,40,42,361
ECO FUEL SYSTEMS (I) PVT LTD,29,18,10,14,22,20,12,14,12,14,17,10,192
ECO SMART VEHICLES PVT LTD,138,171,100,98,87,83,132,84,82,94,112,90,"1,271"
EDMRC MANNSCHAFT LLP,6,3,3,4,1,1,2,0,3,3,0,2,28
EEVEE ENGINEERING PVT LTD,0,0,0,0,0,0,0,0,0,0,2,0,2
EFEV CHARGING SOLUTION PVT LTD,54,21,14,18,9,8,38,38,36,64,91,93,484
E-GURU AUTO ENERGY,16,3,43,43,38,30,23,13,24,11,11,6,261
EICHER MOTORS LTD,1,4,5,0,1,1,2,0,0,2,0,2,18
EICHER TRACTORS,"6,231","5,370","5,279","3,885","4,466","4,625","5,420","4,185","3,806","3,696","5,562","6,976","59,501"
EIMCO ELECON,1,1,1,1,3,0,1,2,1,0,0,0,11
ELECTRA INTERNATIONAL,2,0,0,0,0,1,5,9,5,0,0,7,29
ELECTRECA VEHICLES,8,25,3,1,1,1,1,0,0,0,0,0,40
ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),2,0,0,0,0,0,0,0,1,0,1,1,5
ELECTRODRIVE VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,4,12,18,34
ELECTROTECH TRANSMISSION PVT LTD,0,0,0,0,0,0,0,1,0,0,1,0,2
ELEGO MOTORS PVT LTD,0,0,0,0,0,0,0,8,4,4,8,5,29
ELEPHANTA INDUSTRIES PVT LTD,1,2,0,0,0,1,4,1,1,2,1,1,14
ELGIN SWEEPER CO USA,0,1,0,0,0,0,0,0,0,0,0,0,1
