Maker YoY,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,     TOTAL     
ORION MOTORS,17,58,142,82,28,0,0,0,0,1,1
ORISSA AGRO IND COR,71,150,266,78,147,0,1,4,1,0,6
ORSANG FARM EQUIPMENTS,0,0,1,0,1,0,0,0,0,44,44
OTHERS,875,"1,123","1,198","1,006",94,"4,55,879","4,87,778","5,92,876","7,54,513","5,69,409","28,60,455"
OXFORD TRADE CENTER,121,180,2,0,0,0,0,0,2,0,2
PAARTH SARTHI AUTOMOTIVE ENGINEERS PVT LTD,17,7,10,2,6,2,13,19,4,1,39
PACE AGRO PRIVATE LIMITED,"1,299","2,367","2,020","1,038",356,115,235,141,11,0,502
PACE AGRO PVT LTD,134,44,0,0,0,1,4,51,33,4,93
PACIFI AGRICULTURE,213,152,0,0,0,0,0,0,1,15,16
PADAMAVATI ENG WORKS,101,339,434,244,64,0,0,2,1,4,7
PADMA AGRO INDUSTRIES,0,4,4,0,0,0,0,7,9,4,20
PADMA ENGINEERING WORKS,10,20,11,15,15,0,0,14,43,35,92
PADMALAYA ENGG. WORKS,0,0,0,16,33,1,0,0,0,3,4
PADMASHRI  TRAILERS,0,0,0,0,1,0,0,50,27,26,103
PADMAVATI ENGINEERING WORKS,145,195,183,85,146,5,1,9,14,30,59
PADMAVATI STEEL WORKS,1,0,0,0,0,0,0,0,0,13,13
P.A.I,1,0,0,0,0,0,0,0,0,1,1
PAIGAMBAR WELDING WORKS,0,8,5,23,13,0,0,7,33,29,69
PAL DIESAL PVT LTD,8,16,16,0,1,2,0,2,2,6,12
PANAGARH  TRAILER WORKS,1,0,0,1,3,0,0,0,1,8,9
PANCHAL ENG WORKS,6,2,8,0,1,0,0,0,9,34,43
PANCHAMAHAL  AGRICULTURE WORKS,0,0,1,1,0,0,0,0,0,3,3
PANCHANATH AUTO PVT LTD,0,0,4,0,0,0,0,0,0,3,3
PANCHMAHAL AGRI. WORK,"6,35,571","9,57,243","8,06,160","6,48,479","5,14,112",0,0,0,4,3,7
P AND H INDIA LIMITED,0,0,0,0,9,0,8,3,23,20,54
PANDIYAN TRAILERS LTD,0,7,0,14,39,0,0,0,2,1,3
P AND P ENGG,11,33,84,0,0,0,0,0,7,2,9
PANESAR AGRICULTURE INDUSTRIES,0,0,0,0,1,7,5,14,6,2,34
PANESAR AGRO TECH,1,1,2,15,18,22,0,0,0,0,22
PANI ENGINEERING,3,3,0,0,0,0,0,0,8,4,12
PANKAJ ENGINEERING WORKS,2,2,0,3,7,12,6,90,1,10,119
PANKAJ INDUSTRIES,0,4,12,4,0,0,0,0,0,1,1
PANSEN ENGINEERING INDIA PVT LTD,0,3,0,0,0,57,41,0,0,0,98
PANTHER ELECTRIC VEHICLES,5,10,42,21,11,2,0,0,0,0,2
PARADISE AGRO INDUSTRIES,16,15,5,7,15,0,0,0,0,2,2
PARAG AGRO,36,2,0,0,0,5,11,29,19,4,68
PARAMOUNT AUTOMOTIVES,6,6,5,6,24,0,0,0,1,0,1
PARAMOUNT AUTOMOTIVES P.L,6,0,0,0,0,0,0,0,103,86,189
PARANJYOTI STEEL INDUSTRIES,"1,051",550,158,296,0,0,0,0,0,6,6
PARAS AGRO PRODUCTS,49,62,102,104,63,0,0,0,1,27,28
PARAS ENG WORKS,116,92,77,227,58,0,0,0,5,12,17
PARAS INDUSTRIES,0,3,6,5,4,6,0,1,4,0,11
PARDEEP AGRO INDUSTRIES,"62,075","1,03,172","1,03,247","89,633","83,163",16,22,17,2,0,57
PARDEEP AGRO INDUSTRY,2,2,0,0,0,0,0,0,5,4,9
PARESH TRAILER,3,6,11,6,0,0,0,1,0,6,7
PARI E-VEHICLES,79,142,26,0,0,156,246,210,62,6,680
PARI METRO E RICKSHAW,0,0,0,0,2,138,286,219,0,0,643
PARINDA AUTO,13,23,13,2,5,0,0,0,0,1,1
PARTH AGRO INDUSTRIES,355,710,370,255,3,0,0,0,0,16,16
PARUL ENGG VAD,"1,047","1,148","1,284",898,"1,145",0,0,0,0,2,2
PARVATI  AGRI WOR.,0,0,1,66,97,0,0,0,0,1,1
PARVEEN AUTO,127,104,39,6,5,63,285,0,0,0,348
PASCO MOTORS,"2,13,494","3,58,125","3,74,827","4,10,818","5,84,552",0,0,0,8,2,10
PASHUPATI NATH MOTORS PVT LTD,"2,68,750","4,66,074","4,78,262","4,24,965",5,2,14,84,7,1,108
PASHUPATI VEHICLE PVT. LTD.,"36,489","61,202","38,633",0,0,24,85,74,83,150,416
PASHUPATI VEHICLES PVT LTD,77,222,346,234,76,39,85,75,30,1,230
PATALESHWAR INDUSTRIES,0,0,1,0,1,0,0,0,0,14,14
PATEL AGRO INDUSTRIES,47,35,0,0,0,0,0,0,41,46,87
PATEL INDUSTRIES,0,0,1,42,7,10,14,36,83,176,319
PATEL SALES AGENCY,0,0,2,8,8,0,0,1,1,0,2
PATIDAR AGRO MANUFACTUR,0,0,1,3,1,0,0,0,0,31,31
PATIL AGRO AND ENGG INDUSTRIES,0,5,0,0,0,0,0,1,0,5,6
PATIL INDUSTRIES,0,0,2,5,13,0,0,0,3,3,6
PATMAVATI MOTORS,2,1,3,3,14,0,0,0,1,84,85
PATS MOTOR CORP,82,75,46,16,0,59,44,10,19,1,133
PAUL INDUSTRIES,"5,468","8,766","8,813","7,916","3,411",0,0,0,18,19,37
PAUNIYA TRACTORS AND FARM EQUIPMENT PVT LTD,92,46,0,0,0,2,1,2,2,1,8
PAVAN AGRO INDUSTRIES,0,4,58,79,39,0,0,4,1,0,5
PAVAN INDUSTRIES,0,11,8,0,0,0,0,6,1,0,7
PAVANPUTRA TRAILERS,3,0,0,0,0,0,0,0,20,22,42
PAVANSUT AGRO INDUSTRIES,0,1,0,0,0,0,0,0,3,18,21
PAVAN TRAILERS AND ENGG.WORKS,"4,269","9,466","7,321","5,917","3,895",0,0,1,0,0,1
PAVITHRA ENGINEERING WORKS,1,0,0,0,0,29,6,0,0,0,35
PAWAR FABRICATORS AND STC,"3,899","6,055","1,273",1,0,0,0,0,3,1,4
PAWAR TRAILOR  WORKS,12,0,0,0,0,0,0,0,1,0,1
PAWAR WELDING,48,61,68,75,32,0,0,0,0,11,11
P B NATIONAL AGRICULTURE WORK,2,8,1,7,8,0,0,0,0,1,1
P B NATIONAL AGRICULTURE WORKS,8,12,0,5,22,4,10,2,0,0,16
PCA AUTOMOBILES INDIA PVT LTD,16,0,0,0,0,0,0,1,0,0,1
PERFECT ENGINEERING WORKS,38,0,0,0,0,0,0,0,1,0,1
PERFECT TECHNOCRATS,202,385,348,192,67,11,23,24,0,1,59
PERUMAL TRAILERS,0,0,1,6,5,0,0,0,0,1,1
PETERBILT MOTORS COMPANY,2,2,4,13,8,0,0,0,0,1,1
P F  INDUSTRIES,0,2,2,22,70,0,0,3,1,0,4
PG MOTORS,8,2,0,0,0,0,0,0,1,0,1
P&H GERMANE,0,0,0,6,3,0,0,1,0,0,1
PIAGGIO VEHICLES PVT LTD,67,0,0,0,0,"1,34,642","2,22,855","2,15,328","1,77,820","1,72,343","9,22,988"
PILLING RIG,4,11,3,1,0,0,0,0,0,1,1
PIYUSH AGRO INDUSTRIES,816,"1,362","1,743","1,382",943,0,0,0,7,7,14
P KHARKONGOR STEEL FABRICATION,0,944,"1,589",319,0,0,2,3,1,0,6
P K TROLLY & EQUIPMENTS,10,18,1,0,0,0,0,12,15,25,52
PLAUDIT TECHNO INDIA PVT LTD,"1,87,939","2,62,142","1,94,959","1,49,087","1,17,536",255,504,504,271,0,"1,534"
PL HAULWEL TRAILERS           ,152,192,170,136,111,0,0,9,8,1,18
P M DIESELS PVT LTD,24,29,16,15,12,5,9,0,0,0,14
P.M DIESELS PVT.LTD.,0,3,1,0,2,0,0,0,0,6,6
PMF ENGINEERING LTD,0,2,165,86,61,0,0,0,0,1,1
PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED,0,0,2,1,6,2,52,3,0,0,57
PM INDUSTRIES,0,21,1,10,9,0,0,1,0,3,4
PODDAR INDUSTRIES,0,0,0,8,21,6,5,8,3,2,24
POLARIS INDIA PVT LTD,22,26,44,124,27,46,33,20,6,5,110
POLARIS INDUSTRIES INC.,0,15,0,0,0,0,0,1,13,6,20
POLYMAX,0,0,0,0,1,0,0,0,0,1,1
PONMALAR TRAILERS,32,103,106,55,3,0,0,0,21,18,39
POOJA ENGG WORKS,0,2,0,0,0,0,0,4,3,5,12
POOJA INDUSTRIES,6,22,3,0,1,0,0,1,2,1,4
POONAM AGRO IND.,8,15,14,9,17,0,0,0,0,47,47
POORNIMA AGRO INDUSTRIES,5,3,4,13,18,0,0,13,24,24,61
POPATLAL BHIKHABHAI MIS,77,39,9,4,6,0,0,0,1,1,2
POPULAR AUTO WORKS LTD,74,242,57,9,13,0,0,0,0,1,1
PORSCHE AG,46,512,"1,361","1,355",416,3,16,87,207,230,543
PORSCHE AG GERMANY,0,11,20,7,45,294,335,277,216,70,"1,192"
POWERLAND AGRO TRACTOR VEHICLES PVT LTD,515,"1,072",775,"1,014",906,7,11,13,11,20,62
POWERLAND AGRO TRACTOR VEH PVT LTD,0,0,0,0,1,2,3,6,9,6,26
POWER  POWERTRAC LTD,2,5,10,0,2,0,0,0,0,1,1
POWER TECH TECHNOLOGY SONEPUR BMPUR,0,5,3,0,0,0,0,1,0,0,1
POWER TRACTOR LTD,134,365,297,15,1,0,0,0,1,0,1
POWER TRAILER,5,12,30,29,35,0,0,7,3,4,14
PRAAKARM AUTO & CONSTRUCTION EQUIPMENTS,446,816,987,391,193,15,23,36,1,0,75
PRABHAT AGRO IND.,"3,018","3,727","2,845","1,240",327,0,0,0,2,16,18
PRABHU AUTO ENGG. WORKS,1,0,9,11,4,2,25,81,54,2,164
PRABHU AUTOMOBILES,5,9,10,12,16,0,0,0,0,1,1
PRABHULINGESWAR ENG WORKS,1,16,44,58,1,0,0,36,33,20,89
PRADEEP AGRO INDUSTRIES,"21,19,223","32,73,308","28,94,117","23,98,470","20,48,217",0,0,0,3,2,5
PRADEEP INDUSTERS,25,8,11,6,6,0,0,0,1,0,1
PRAGATHI ENGG WORKS,0,1,0,0,0,0,0,0,0,1,1
PRAGATHI POORNA INDUSTRIES,"1,328","1,566","1,505",476,311,0,0,59,94,86,239
PRAGATHI TRAILERS,"1,942","3,338","3,848","2,724",940,0,0,0,1,0,1
PRAGATI AGRICULTURE,1,1,0,0,0,1,2,32,92,95,222
PRAGATI ENGINEERING,5,6,31,41,25,43,70,57,0,1,171
PRAG MOTORS,1,0,0,0,0,10,1,5,0,0,16
PRAJAPATI ENG. WORKS,2,0,0,0,0,0,0,0,1,2,3
PRAKASH AGRO IND AND FABRIC,0,0,0,0,2,0,0,56,44,47,147
PRAKASH ENGINEERING WORKS,652,408,257,0,0,0,142,412,253,227,"1,034"
PRAKASH ENTERPRISES,10,67,137,34,1,30,22,4,0,6,62
PRAKASH METAL,184,258,211,191,72,31,27,62,82,46,248
PRAKASH TRAILER,0,0,0,0,2,21,30,161,10,66,288
PRAMOD ENGINEERS,0,0,0,0,3,0,0,0,0,14,14
PRAMUKHRAJ AGRO INDUSTRIES,12,12,10,5,8,0,0,0,0,1,1
PRASAD AGRICULTURAL PRODUCT,"1,058","1,754",26,0,0,13,7,0,0,0,20
PRASAD AND PRASAD ENG,"2,411","3,647","3,580","1,671",778,39,53,47,123,93,355
PRATIK AGRICULTURAL,"7,028","13,706","13,574","10,251","3,989",0,0,0,0,1,1
PRATIK TRAILERS,0,0,8,12,9,0,0,1,0,0,1
PRAVEEN KUMAR AND BROTHERS,239,364,272,321,226,0,0,13,19,2,34
PRAVIN AGRO INDUSTRIES,0,2,0,1,0,0,12,3,0,2,17
PRD RIGS INDIA PVT LTD,42,0,0,0,0,0,0,0,0,1,1
PRECISION INSTRUMENT MANUFACTURERS,0,0,3,15,0,0,0,0,0,2,2
PREEET AGRO INDUSTRIES PVT LTD,"1,759","2,910","2,440","1,979",499,149,140,318,527,602,"1,736"
PREET AGRO INDUSTRIES PVT LTD,0,0,0,1,0,769,541,298,22,9,"1,639"
PREET CORPORATION INDIA LTD,585,628,355,156,0,0,0,0,0,1,1
PREET INTERNATIONAL  PVT. LTD.,6,31,0,0,0,0,0,0,1,0,1
PREET TRACTORS PVT LTD,0,0,5,16,35,"1,380","1,294","1,513",415,24,"4,626"
PREET TRACTORS PVT. LTD.,133,172,150,84,75,104,136,408,"1,649","1,988","4,285"
PREFIX ENGG PVT LTD,36,101,23,17,12,0,0,0,0,3,3
PREMIER ESOL TECHNOLOGIES,9,0,0,0,0,0,1,0,0,0,1
PREMIER LTD,21,0,0,0,0,0,4,16,25,31,76
PREM KRISHI UDHYOG,1,0,0,0,0,0,0,0,81,21,102
PRESTANTIA CREATIONS PVT LTD,3,5,4,0,0,13,9,23,18,0,63
PRIMA PVT LTD,4,1,0,0,0,0,2,0,0,1,3
PRINCE,0,0,12,5,18,0,0,0,1,2,3
PRINCE AGRO WORKS,"3,320","7,821","7,832","5,969","3,924",15,9,12,7,1,44
PRIYA CRANES,0,0,0,0,1,0,0,6,18,12,36
PRIYANSHU PRINCE ENGINEERING,1,0,0,2,5,3,5,197,50,49,304
P R TRAILER ENG WORKS,0,0,0,0,3,0,0,0,0,1,1
PRUTHVI AGRO TECH,1,0,0,0,0,0,2,30,28,44,104
PRUTHVIDHARA INDUSTRIES,9,8,27,22,27,0,0,0,0,1,1
PRUTHVI ENGINEERING WORKS,0,3,11,6,2,0,0,6,5,15,26
PUBANG ETRON ELECTRIC MOTOR PVT LTD,"51,870","75,303","74,557","59,178","41,182","1,364","2,617","1,038",38,0,"5,057"
PUBLIC TRAILER WORKS,417,577,246,105,29,0,0,0,0,1,1
PUGHAZ TRAILER,0,2,0,9,39,0,0,0,0,6,6
PUNEET OVERSEAS  INC,31,91,171,132,24,5,0,0,0,0,5
PUNJAB AGRICULTURE WORKS,4,16,18,0,3,0,0,0,2,0,2
PUNJAB AGRO IMPLEMENTS INDUSTRIES,37,13,0,0,0,21,37,97,27,35,217
PUNJAB AGRO INDUSTRIES,12,31,25,3,0,772,477,848,5,3,"2,105"
PUNJAB AGRO INDUSTRIES (TRAILER),12,39,11,75,13,1,0,0,2,0,3
PUNJAB ENGINEERING,98,3,0,0,0,0,0,0,2,10,12
PUNJAB HI-TECH INDUSTRIES,24,67,40,17,11,1,3,0,0,0,4
PUNJAB TRACTORS LIMITED,1,3,9,9,31,140,516,"1,323","5,046","7,483","14,508"
PURAN AGRO INDUS,330,440,574,398,329,0,0,0,1,0,1
PURAN ENGINEERING WORKS,92,144,91,53,27,0,0,0,0,1,1
PURASH PURASHARTH AGRO,4,0,0,0,0,0,0,0,0,7,7
PURBEY ENG. WORKS,16,26,31,8,0,0,0,0,1,0,1
PUR ENERGY PVT LTD,0,0,0,0,27,721,0,0,0,0,721
PURUSHARTH AGRO IND,0,0,0,0,1,0,0,0,0,1,1
PURVA UDYOG PVT LTD,0,2,25,10,3,0,1,0,0,0,1
PUSHKAR INDUSTRIES,"1,149","2,343","3,321","2,148","1,256",49,0,0,2,2,53
PUTTARAJ INDUSTRIES,5,38,43,6,20,0,0,7,7,14,28
P.V.P.LTD.,65,224,256,193,35,0,0,14,211,329,554
PVT MAKER,0,0,9,2,6,1,1,0,5,12,19
PYTHOX MOTORS PVT LTD,0,0,21,66,171,23,14,0,0,1,38
QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),2,2,2,14,136,0,0,0,0,1,1
QUALITY ENGINEERING WORK,0,1,5,4,3,118,114,102,104,67,505
R3 ENTERPRISES,2,0,0,0,0,229,77,0,1,0,307
RAAJ AUTOMOTIVE,3,0,17,114,161,0,0,1,2,1,4
RABBANI ENGINEERING WORKS,3,1,0,0,0,0,0,0,1,0,1
RACCOON MOTORS PVT LTD,0,5,17,0,0,7,0,0,0,0,7
RACE AUTOMOTIVES PVT. LTD.,"3,269","5,219","4,807","1,355",26,0,0,0,92,"1,617","1,709"
RADHA AGRICULTURE ENGG,30,191,181,248,67,0,0,0,0,1,1
RADHAKANTA IND,4,0,0,0,0,0,0,0,6,2,8
RADHA KISHAN ENGG WORKS,153,73,11,0,0,0,0,0,1,1,2
RADHAKRISHNA ENGG WORKS,0,1,2,4,13,0,0,0,5,12,17
RADHE AGRO INDUSTRIES,1,0,0,0,0,0,0,0,12,33,45
RADHE KRISHNA AGRO INDUSTRIES,0,4,0,0,0,0,0,0,0,1,1
RADHE KRISHNA ENG WORKS,2,1,0,0,0,0,0,0,4,6,10
RADHE SHYAM  INDUSTRIES,0,2,0,0,0,0,0,0,0,3,3
RADHESHYAM TRAILOR,20,67,70,99,103,78,84,284,36,63,545
RADHIKA INDUSTRIES,27,5,0,0,0,0,0,0,0,4,4
RADU AND RADU AUTO AGENCY,0,0,0,0,2,0,0,0,0,2,2
RAGHAVENDRA INDUSTRIES,"1,105","1,209",831,407,130,0,0,1,1,2,4
RAGHAV IDUSTRIES,6,13,26,24,44,0,0,1,0,1,2
RAGHAV TRACTOR,23,74,39,9,12,0,0,0,0,36,36
RAGHUVIR INDUSTRIES,21,48,465,601,824,0,0,0,0,1,1
RAGINI ENG.WORKS,10,0,0,0,0,0,0,0,26,2,28
RAGUVIR TRAILOR,4,0,0,0,0,0,0,0,0,3,3
RAHUL AGRO EXPORTS PVT LTD,1,22,92,2,0,77,140,90,77,0,384
RAHUL AGRO INDUSTRIES,25,25,34,23,26,0,0,14,8,10,32
RAHUL AUTO,338,78,36,140,103,0,0,0,0,4,4
RAHUL ENGG WORKS,0,0,0,2,9,0,0,0,0,1,1
RAHUL KRUISHI TRAILER,446,380,241,149,121,0,0,0,0,3,3
RAITHA SEVA AGRICULTURE DVT IN,0,0,4,3,2,0,0,22,21,38,81
RAJA ENG WORK,8,74,137,86,16,0,1,3,69,170,243
RAJ AGRICULTURE HALOL,151,207,123,6,3,0,0,0,0,3,3
RAJ AGRI WORKS,1,2,10,2,0,0,0,0,0,1,1
RAJ AGRO INDUSTRIES,1,0,0,0,0,0,0,2,19,62,83
RAJAMMA TRAILORS,4,0,0,0,0,0,0,0,0,1,1
RAJANI GENERAL ENGG,16,24,0,0,0,0,0,8,20,14,42
RAJAN  INDUSTRIES,0,0,1,1,1,0,0,0,0,2,2
RAJANI STEEL WORKS,13,6,5,6,2,0,0,7,2,1,10
"RAJA RANEE AGRO E WORKS,ANGL",2,36,48,46,91,11,11,20,27,1,70
RAJASTHAN WORKS,22,16,0,0,0,0,0,2,0,0,2
RAJ AUTOMOTIVE,0,5,3,2,0,43,23,20,13,4,103
RAJDHANI AUTO IND,72,0,0,0,0,0,0,0,0,1,1
RAJENDRA ENGG. WORKS,32,5,0,0,0,0,0,0,0,2,2
RAJ ENGINEERING WORKS,6,6,1,0,7,0,0,32,235,187,454
RAJESH ENGINEERING  WORKS,142,9,0,0,0,0,0,0,0,42,42
RAJESHRI AUTO MECHE,16,252,219,156,71,0,0,19,12,26,57
RAJESH STEEL AND WIRE INDUSTRIES,128,1,1,32,"1,386",58,135,151,19,0,363
RAJESH WELDING WORKS,7,3,13,345,355,0,0,0,0,37,37
RAJ  INDUSTRIES,1,21,33,37,72,0,0,0,7,7,14
RAJIV RAJ VEHICLES PVT LTD,54,0,0,0,0,35,28,46,1,0,110
RAJKAMAL MOTORS LTD,6,2,0,0,0,0,0,0,2,0,2
RAJ LAXMI AGRO,947,"1,861","2,120","1,606","1,351",0,0,0,0,5,5
RAJLAXMI AGRO INDUSTRIES,440,538,569,501,459,0,0,0,0,46,46
RAJMANDIR AUTO INDUSTRIES,595,930,"1,179","1,023",800,0,0,0,0,7,7
RAJMOHAN INDUSTRIES,3,1,3,0,0,0,0,0,1,3,4
RAJMOTI AGRO INDUSTRIES,1,4,9,2,0,0,0,0,0,65,65
RAJSHAKTI AGRO IND,86,9,0,0,0,0,0,0,0,31,31
RAJ SHAKTI AGRO INDUSTRIES,600,"1,296","1,080",446,113,0,0,0,1,0,1
RAJSHRI  S INDUSTRIES,1,2,0,1,7,0,0,0,4,5,9
RAJ TRAILER INDUSTRIES,0,1,0,7,44,0,0,2,5,10,17
RAKESH ENGINEERING WORKS,2,0,2,0,0,0,0,0,16,27,43
RAKKEESWARA TRAILORS,0,1,0,3,6,0,0,0,0,3,3
RALLIES INDIA,"1,743","3,215","4,658","5,241","6,054",0,0,0,0,1,1
RAMA ENGINEERING WORKS SHAHPUR,0,2,0,1,1,0,0,0,2,0,2
RAM AGRICULTURE,83,23,0,0,0,0,0,0,0,1,1
RAM AGRITECH,3,0,0,0,0,0,0,0,0,5,5
RAM AGRI TRAILER,0,14,9,59,59,0,0,0,2,3,5
RAM AGRO INDUSTRIES,0,5,26,72,78,28,18,37,38,16,137
RAMAN AGRO INDUSTRIES,2,4,0,1,19,0,1,2,3,0,6
RAMBABU ENGINEERING WORKS,"3,228","10,944","6,910",314,0,0,0,0,1,29,30
RAM CHANDER & SONS,313,118,1,0,0,0,5,2,2,8,17
RAM CHAND & SONS,3,23,80,13,0,15,48,25,32,69,189
RAMDEV AGRO INDUSTRIES,0,4,18,75,44,0,0,22,12,20,54
RAMDEV WELDING WORKS,0,0,0,0,2,0,0,0,0,6,6
RAMDOOT TRAILOR,2,29,30,114,22,0,0,0,1,4,5
RAMESH AGRO.,23,22,42,82,21,0,0,0,0,1,1
RAMESHWAR ENGINEERING WORKS,8,1,2,6,3,0,0,0,5,12,17
RAMGARHIA ENGG WORKS,335,530,429,340,490,21,10,5,16,15,67
RAMGARHIA MECHANICAL WORKS,19,23,32,16,11,0,0,0,12,6,18
RAMGARH TRACTORS,1,2,2,1,0,0,0,1,0,1,2
RAM JANKI ENG. WORK,2,0,0,0,0,0,0,0,4,0,4
RAMJI AGRO IND.,72,0,0,0,0,0,0,0,13,11,24
RAM JI AGRO INDUSTRIES,6,0,0,0,0,0,0,0,1,4,5
RAMJI AGRO INDUSTRIES,3,6,15,6,0,14,14,9,0,1,38
RAM JI ENGINEERING WORKS,60,99,275,2,0,11,10,3,2,0,26
RAMJI NANJI AND SONS,13,95,4,0,0,0,0,0,0,2,2
RAMKRISHNA IRON WORKS,2,0,0,0,0,0,0,0,0,18,18
RAMONA,0,1,0,0,0,0,0,2,8,31,41
RAMON INDUSTRIES,2,8,10,0,0,63,238,133,0,0,434
RAM TRAILER AND WELDING WORKS,8,133,182,4,1,0,0,0,0,1,1
RAM VIJAY AGRO INDUSTRIES,0,3,54,6,0,0,0,0,0,6,6
RAM WELDING WORKS,1,0,0,0,0,0,0,0,0,1,1
RANDAL MECHANICAL WORKS,3,38,68,0,0,0,0,0,0,1,1
RANGANATH INDUSTRIES,0,9,8,0,0,0,0,0,0,1,1
RANGANI AGRO INDUSTRIES,0,4,15,12,0,0,0,0,1,5,6
RANI SATI AGRO INDUS.,7,3,0,0,0,0,0,0,0,2,2
RANI TRAILER,3,16,2,0,0,1,5,3,2,3,14
RANJEET ENG. WORKS,52,332,428,3,0,0,0,2,10,14,26
RANJEET STEEL WORKS,1,26,4,0,0,0,0,1,15,27,43
RASANDIK ENGINEERING,32,74,1,0,0,0,0,0,23,17,40
RASANDIK ENGINEERING INDUSTRIES INDIA LTD,1,52,0,0,0,10,59,138,27,2,236
RASANDIK MOTORS PVT LTD,0,6,37,0,0,2,2,9,36,8,57
"RASHMI AUTOMOBILES, NUAPADA",17,25,4,0,0,28,18,11,16,1,74
RASIWASIA RASAYAN PVT LTD,3,21,35,0,0,2,20,22,60,0,104
RATAN ENGINEERING WORKS,58,211,72,0,0,30,7,4,0,89,130
RATAN INDUSTRIES,4,31,22,0,0,0,0,0,0,1,1
RATHAN AGRO TRAILERS,9,198,389,0,0,0,0,0,0,1,1
RATHNA AGRO TRAILERS,2,26,8,0,0,0,0,0,0,1,1
RATHNA ENGINEERING COMPANY,81,132,0,0,0,0,0,2,8,7,17
RATNA ENGINEERING ENTERPRISES,1,0,0,0,0,11,32,41,86,121,291
RAVI AGRO INDUSTRIES,9,10,2,0,0,0,0,0,1,34,35
RAVI ENGINEERING WORKS,0,6,12,0,0,0,0,1,6,16,23
RAVI INDUSTRIES,62,254,278,15,0,0,0,11,20,17,48
RAVI IRON WO DHANDHUKA,18,0,0,0,0,0,0,0,0,16,16
RAVINDRA AGRO WORKS,1,20,17,0,0,0,0,0,0,1,1
RAVIRAJ AGRO INDUSTRIES,0,13,12,0,0,0,0,0,0,26,26
RAVI RATH INDUSTRIES,17,339,316,0,0,0,0,0,2,6,8
RAVI STEEL WORKS,12,0,0,0,0,0,0,0,0,1,1
RAVI TRAILERS,116,40,0,0,0,0,0,1,4,31,36
RAYON ENGINEERS,10,13,1,6,4,4,50,135,67,0,256
RAZA ENG WORKS,1,1,0,0,0,0,0,1,3,0,4
R B INDUSTRIES,0,0,2,0,0,2,0,0,0,0,2
RCJ AUTO FORGE PVT LTD,107,207,157,91,245,1,0,0,0,0,1
RD AND CO,176,34,0,0,0,3,0,0,0,0,3
REAL ENGINEERING WORKS,0,0,2,12,1,0,0,0,15,47,62
REDDY AGRO ENGG WORKS,0,0,6,15,39,0,0,30,50,29,109
REDDY ENGINEERING AND CO,104,358,134,57,0,0,1,0,3,1,5
REDDY UDYOG WORKS,7,53,8,7,0,0,0,17,55,53,125
REEP INDUSTRIES PVT LTD,123,188,3,1,58,6,42,19,0,0,67
REFLEX CONTROL SYSTEM PVT,500,11,0,0,0,3,0,7,22,3,35
REFLEX CONTROL SYSTEM PVT .LTD,2,10,13,4,6,54,114,211,40,0,419
REHAN AGRO INDUSTRIES,0,1,16,25,0,0,0,2,9,8,19
REHOBATH MOTORS,0,0,9,1,0,0,0,0,0,2,2
RENAULT INDIA PVT LTD,0,1,4,0,0,"82,546","79,333","83,860","1,11,085","1,17,248","4,74,072"
RENAULT NISSAN AUTOMOTIVE INDIA PRIVATE LIMITED,26,119,61,0,0,0,0,150,208,263,621
R ENGG,0,13,27,13,0,0,0,0,3,15,18
RENUKA AGRO ENGG COMPANY,1,13,11,0,0,0,0,1,0,2,3
RENUKA AGRO INDUSTRIES,0,0,0,1,0,0,0,3,5,4,12
RENUKADEVI TRAILOR,8,9,17,13,15,0,0,13,28,33,74
RENUKA ENGINEERING,"25,813","43,977","40,814","30,135","15,949",0,0,0,7,9,16
RENUKAMBA TRAILER,0,0,21,128,83,0,0,0,1,0,1
RENUKA TRAILERS,2,1,0,1,42,0,0,1,4,3,8
RENUKA WELDING WORKS,1,0,0,0,0,0,0,3,13,8,24
REPITR,31,178,82,0,0,0,0,1,0,1,2
REPUBLIC MOTORS,19,266,218,0,0,44,58,87,11,1,201
REPUBLIC PVT.LTD.,11,26,0,0,0,0,0,1,1,38,40
REVA ELECTRIC CAR CO,3,77,36,0,0,0,0,19,28,2,49
REVOLT INTELLICORP PVT LTD,6,46,20,0,0,"2,098",480,0,0,0,"2,578"
RG PETRO MACHINERY CO,21,0,0,0,0,0,2,0,0,0,2
RHINO ENGINEERS,1,0,0,0,0,0,0,0,1,0,1
RHISHIKESH ENGINEERS PVT LTD,28,127,80,0,0,0,1,0,0,0,1
RICHA ENTERPRISES,36,15,0,0,0,0,0,0,4,29,33
RISHAV ENNGINEARIGS,34,72,0,0,0,0,0,0,8,50,58
RITESH AGRO AGENCY,2,0,0,0,0,0,0,0,7,4,11
RIYA ENGINEERING,2,19,2,0,0,0,0,0,5,21,26
RIYA ENTERPRISE,2,0,0,0,0,7,11,1,2,0,21
R.K.AGRO INDUSTRIES,0,0,0,1,0,0,0,2,15,15,32
R.KALPESH COMPANY,3,5,0,5,4,0,0,0,1,1,2
"RK ENGG WORKS,JUNAGARH",7,0,0,0,0,17,21,16,72,74,200
R.K.ENGINEERING WORKS,16,69,128,35,0,0,0,14,15,26,55
RK TRACTOR,5,8,32,0,0,2,2,26,19,5,54
